"Timestamp","AppName","AppPackage","AppUid","In interface","Out interface","Source","Source Port","Destination","Destination Port","Length"
"2021-03-10 21:00:02.467","Kernel","kernel","-1","wlan0","","192.168.1.86","45246","192.168.1.255","32414","49"
"2021-03-10 21:00:02.468","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","280"
"2021-03-10 21:00:02.468","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","40152","543"
"2021-03-10 21:00:02.468","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","52"
"2021-03-10 21:00:02.469","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","60"
"2021-03-10 21:00:02.469","Headphones","com.sony.songpal.mdr","10145","wlan0","","44.240.113.151","443","192.168.1.224","47479","60"
"2021-03-10 21:00:02.469","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","52"
"2021-03-10 21:00:02.469","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","235"
"2021-03-10 21:00:02.470","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","45558","54.230.126.18","443","280"
"2021-03-10 21:00:02.470","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","280"
"2021-03-10 21:00:02.470","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","45558","543"
"2021-03-10 21:00:02.470","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","45558","54.230.126.18","443","52"
"2021-03-10 21:00:02.470","Headphones","com.sony.songpal.mdr","10145","wlan0","","44.240.113.151","443","192.168.1.224","47479","52"
"2021-03-10 21:00:02.471","Headphones","com.sony.songpal.mdr","10145","wlan0","","44.240.113.151","443","192.168.1.224","47479","1500"
"2021-03-10 21:00:02.471","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","52"
"2021-03-10 21:00:02.471","Headphones","com.sony.songpal.mdr","10145","wlan0","","44.240.113.151","443","192.168.1.224","47479","1500"
"2021-03-10 21:00:02.471","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","52"
"2021-03-10 21:00:02.472","Headphones","com.sony.songpal.mdr","10145","wlan0","","44.240.113.151","443","192.168.1.224","47479","1398"
"2021-03-10 21:00:02.472","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","47479","44.240.113.151","443","52"
"2021-03-10 21:00:02.472","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","40152","543"
"2021-03-10 21:00:02.472","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","52"
"2021-03-10 21:00:02.473","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","39849","184.24.188.159","443","279"
"2021-03-10 21:00:02.473","Headphones","com.sony.songpal.mdr","10145","wlan0","","184.24.188.159","443","192.168.1.224","39849","52"
